Extension,Version,Folder,SizeMB,SizeGB
theo.emmylua,0.9.15-universal,theo.emmylua-0.9.15-universal,2.82,0.003
fluxloop.fluxloop,0.1.14-universal,fluxloop.fluxloop-0.1.14-universal,2.81,0.003
gbti.snapshots-for-ai,8.2.0-universal,gbti.snapshots-for-ai-8.2.0-universal,2.81,0.003
sakshya73.code-ustaad-ai,1.1.0-universal,sakshya73.code-ustaad-ai-1.1.0-universal,2.8,0.003
speclens.speclens,0.1.13-universal,speclens.speclens-0.1.13-universal,2.79,0.003
echemlabs.markdown-mermaid-zoom,0.4.0-universal,echemlabs.markdown-mermaid-zoom-0.4.0-universal,2.78,0.003
gfautomation.remote-code,7.4.1-universal,gfautomation.remote-code-7.4.1-universal,2.76,0.003
rickaym.manim-sideview,0.3.1-universal,rickaym.manim-sideview-0.3.1-universal,2.76,0.003
patchwire.patchwire-vscode,0.6.0-universal,patchwire.patchwire-vscode-0.6.0-universal,2.75,0.003
repreng.csv,1.3.0-universal,repreng.csv-1.3.0-universal,2.73,0.003
unode.unodeai,0.9.30-universal,unode.unodeai-0.9.30-universal,2.73,0.003
sinch.sinch-conversation-api,1.0.3-universal,sinch.sinch-conversation-api-1.0.3-universal,2.72,0.003
embedd-team.embedd-peripheral-viewer,1.7.3-universal,embedd-team.embedd-peripheral-viewer-1.7.3-universal,2.71,0.003
howcasperwhat.comment-formula,1.4.0-universal,howcasperwhat.comment-formula-1.4.0-universal,2.71,0.003
profelis.dascript-plugin,1.3.6-universal,profelis.dascript-plugin-1.3.6-universal,2.71,0.003
codapt.codapt-extension,0.0.52-universal,codapt.codapt-extension-0.0.52-universal,2.7,0.003
luohe.js-debug-for-luohe-react,0.0.1-universal,luohe.js-debug-for-luohe-react-0.0.1-universal,2.7,0.003
microchip.mplab-core-da,1.10.0-universal,microchip.mplab-core-da-1.10.0-universal,2.7,0.003
castle-engine-team.castle-engine,1.6.0-universal,castle-engine-team.castle-engine-1.6.0-universal,2.69,0.003
microchip.runcmake,1.9.0-universal,microchip.runcmake-1.9.0-universal,2.69,0.003
yaprepo.reporelic,1.1.0-universal,yaprepo.reporelic-1.1.0-universal,2.69,0.003
msjsdiag.debugger-for-chrome,4.12.6-universal,msjsdiag.debugger-for-chrome-4.12.6-universal,2.68,0.003
zcy-zero-moss-team.zero-moss-extension,0.1.6-universal,zcy-zero-moss-team.zero-moss-extension-0.1.6-universal,2.66,0.003
jlcodes.antigravity-cockpit,2.1.52-universal,jlcodes.antigravity-cockpit-2.1.52-universal,2.64,0.003
ktiays.aicursor,0.5.3-universal,ktiays.aicursor-0.5.3-universal,2.64,0.003
lyuwenhan.mermaid-snap,1.0.21-universal,lyuwenhan.mermaid-snap-1.0.21-universal,2.64,0.003
maxwell.vscode-latte,1.0.31-universal,maxwell.vscode-latte-1.0.31-universal,2.64,0.003
cryptarchs.velora,1.1.0-universal,cryptarchs.velora-1.1.0-universal,2.63,0.003
ran-codes.code-organizer,0.1.1-universal,ran-codes.code-organizer-0.1.1-universal,2.63,0.003
sukhtumur.paami,3.2.0-universal,sukhtumur.paami-3.2.0-universal,2.63,0.003
eliostruyf.spfx-snippets,1.13.0-universal,eliostruyf.spfx-snippets-1.13.0-universal,2.62,0.003
webersonrodrigues.kiro-ecosystem-graph,0.3.4-universal,webersonrodrigues.kiro-ecosystem-graph-0.3.4-universal,2.61,0.003
jetmartin.apicurio,0.1.0-universal,jetmartin.apicurio-0.1.0-universal,2.6,0.003
marcmassacapo.harness-dashboard-vscode,0.7.0-universal,marcmassacapo.harness-dashboard-vscode-0.7.0-universal,2.6,0.003
godwinjoseph.advanced-json-studio,1.0.5-universal,godwinjoseph.advanced-json-studio-1.0.5-universal,2.58,0.003
ms-vscode.powershell-preview,2020.3.0-universal,ms-vscode.powershell-preview-2020.3.0-universal,2.58,0.003
oaslananka.fovuxstudiokit,1.3.0-universal,oaslananka.fovuxstudiokit-1.3.0-universal,2.58,0.003
devark.devark-extension,0.1.18-universal,devark.devark-extension-0.1.18-universal,2.57,0.003
expo.vscode-expo-tools,1.6.3-universal,expo.vscode-expo-tools-1.6.3-universal,2.57,0.003
karthikaradhya.consolewatch,0.1.0-universal,karthikaradhya.consolewatch-0.1.0-universal,2.57,0.003
crsx.icons-library,1.0.1-universal,crsx.icons-library-1.0.1-universal,2.56,0.002
nandamyashwanth.go-debugger-ai,2.0.3-universal,nandamyashwanth.go-debugger-ai-2.0.3-universal,2.56,0.003
mubashir-ali.bio-data-hub,1.5.0-universal,mubashir-ali.bio-data-hub-1.5.0-universal,2.55,0.002
elixir-lsp.elixir-ls,0.31.1-universal,elixir-lsp.elixir-ls-0.31.1-universal,2.54,0.002
sencercetinturk.chainforge,1.4.1-universal,sencercetinturk.chainforge-1.4.1-universal,2.54,0.002
kx.kdb,1.18.1-universal,kx.kdb-1.18.1-universal,2.53,0.002
terrastruct.d2,0.8.6-universal,terrastruct.d2-0.8.6-universal,2.53,0.002
diemasmichiels.emulate,1.8.2-universal,diemasmichiels.emulate-1.8.2-universal,2.52,0.002
drom.vcdrom,0.6.0-universal,drom.vcdrom-0.6.0-universal,2.52,0.002
mrchetan.goto-laravel-components,1.0.2-universal,mrchetan.goto-laravel-components-1.0.2-universal,2.5,0.002
openubmc.openubmc-skills-marketplace,1.1.8-universal,openubmc.openubmc-skills-marketplace-1.1.8-universal,2.5,0.002
tahabasri.snippets,4.2.0-universal,tahabasri.snippets-4.2.0-universal,2.49,0.002
qcodex.qcodex,0.0.4-universal,qcodex.qcodex-0.0.4-universal,2.48,0.002
truesparrow.sirji,0.0.31-universal,truesparrow.sirji-0.0.31-universal,2.48,0.002
web33.repoanalyzer,0.5.4-universal,web33.repoanalyzer-0.5.4-universal,2.48,0.002
dc-commits.aws-lens-event-driven,0.6.0,dc-commits.aws-lens-event-driven-0.6.0,2.47,0.002
filipstrand.gitbit,0.4.4-universal,filipstrand.gitbit-0.4.4-universal,2.47,0.002
jonpena.console-warrior,1.3.31-universal,jonpena.console-warrior-1.3.31-universal,2.47,0.002
ms-vscode.node-debug2,1.43.0-universal,ms-vscode.node-debug2-1.43.0-universal,2.47,0.002
neoresearchinc.heyneo,1.1.2-universal,neoresearchinc.heyneo-1.1.2-universal,2.47,0.002
laurids.agent-skills-sh,0.1.16-universal,laurids.agent-skills-sh-0.1.16-universal,2.46,0.002
ms-toolsai.vscode-jupyter-powertoys,0.1.1-universal,ms-toolsai.vscode-jupyter-powertoys-0.1.1-universal,2.46,0.002
streetsidesoftware.code-spell-checker-russian,2.2.4-universal,streetsidesoftware.code-spell-checker-russian-2.2.4-universal,2.46,0.002
deepx.deepv-code-vscode-companion,1.0.195-universal,deepx.deepv-code-vscode-companion-1.0.195-universal,2.45,0.002
mschababerle.status-bar-param,1.10.0-universal,mschababerle.status-bar-param-1.10.0-universal,2.43,0.002
meherub-hossain-yemon.codebuddy,0.0.2-universal,meherub-hossain-yemon.codebuddy-0.0.2-universal,2.42,0.002
openimagedebugger.openimagedebugger-vscode,1.2.0-universal,openimagedebugger.openimagedebugger-vscode-1.2.0-universal,2.42,0.002
tasking-winidea.tasking-hexeditor,1.9.22-win32-x64,tasking-winidea.tasking-hexeditor-1.9.22-win32-x64,2.42,0.002
mantiqh.jsonlens,0.1.7,mantiqh.jsonlens-0.1.7,2.41,0.002
vokality.emote,0.2.3-universal,vokality.emote-0.2.3-universal,2.41,0.002
freerave.dotcommand,2.0.1-universal,freerave.dotcommand-2.0.1-universal,2.4,0.002
charleshong3.autocomp-visualizer,0.2.10-universal,charleshong3.autocomp-visualizer-0.2.10-universal,2.39,0.002
viper7882.mqlens,0.0.2-universal,viper7882.mqlens-0.0.2-universal,2.39,0.002
xenriq.promptive-sentry-ide,2.0.2-universal,xenriq.promptive-sentry-ide-2.0.2-universal,2.39,0.002
yusukeabe.gitinprogress,0.3.0-universal,yusukeabe.gitinprogress-0.3.0-universal,2.38,0.002
dewufe.du-i18n-2,1.3.42-universal,dewufe.du-i18n-2-1.3.42-universal,2.37,0.002
joouis.agent-maestro,2.9.0-universal,joouis.agent-maestro-2.9.0-universal,2.37,0.002
nrentas.clauder,0.1.17-universal,nrentas.clauder-0.1.17-universal,2.37,0.002
yoavbls.pretty-ts-errors,0.8.7-universal,yoavbls.pretty-ts-errors-0.8.7-universal,2.37,0.002
felipefontes.flutter-widget-preview,0.1.15-universal,felipefontes.flutter-widget-preview-0.1.15-universal,2.36,0.002
lvboda.vscode-i18n-fast,1.0.0-universal,lvboda.vscode-i18n-fast-1.0.0-universal,2.36,0.002
mikesoft.vscode-grok-build-launcher,0.1.7-universal,mikesoft.vscode-grok-build-launcher-0.1.7-universal,2.35,0.002
collabsuite.staff-engineer,0.3.1-universal,collabsuite.staff-engineer-0.3.1-universal,2.34,0.002
ukaisi.inspect-ai,0.9.14-universal,ukaisi.inspect-ai-0.9.14-universal,2.34,0.002
silkepilon.youchat,0.1.3-universal,silkepilon.youchat-0.1.3-universal,2.33,0.002
gengjiawen.vscode-npm-dependency,1.2.2,gengjiawen.vscode-npm-dependency-1.2.2,2.32,0.002
jamestiotio.compstruct-vscode,0.2.11-universal,jamestiotio.compstruct-vscode-0.2.11-universal,2.32,0.002
modiqo.rote,0.36.1-universal,modiqo.rote-0.36.1-universal,2.32,0.002
jodacame.vsstats,1.3.2-universal,jodacame.vsstats-1.3.2-universal,2.31,0.002
openmodelica.metamodelica-language-server,0.2.0-universal,openmodelica.metamodelica-language-server-0.2.0-universal,2.3,0.002
dhimitriosduka.slurm-cluster-manager,1.5.0-universal,dhimitriosduka.slurm-cluster-manager-1.5.0-universal,2.27,0.002
kjokkenkoddinger.flutter-net-inspector,0.1.4-universal,kjokkenkoddinger.flutter-net-inspector-0.1.4-universal,2.27,0.002
mikesoft.vscode-antigravity-cli-launcher,0.1.6-universal,mikesoft.vscode-antigravity-cli-launcher-0.1.6-universal,2.27,0.002
tlg.prophet-plus,2.0.4-universal,tlg.prophet-plus-2.0.4-universal,2.27,0.002
ibm.vscode-ibmi-bob,1.0.0-universal,ibm.vscode-ibmi-bob-1.0.0-universal,2.26,0.002
odangoo.otak-committer,2.16.11-universal,odangoo.otak-committer-2.16.11-universal,2.26,0.002
webfreak.debug,0.27.0-universal,webfreak.debug-0.27.0-universal,2.26,0.002
seyyedkhandon.firacode,2.2.2-universal,seyyedkhandon.firacode-2.2.2-universal,2.25,0.002
karthikaradhya.vscode-scrcpy,1.1.1-universal,karthikaradhya.vscode-scrcpy-1.1.1-universal,2.24,0.002
dhanush-008.ai-readme-markdown-generator,1.0.5-universal,dhanush-008.ai-readme-markdown-generator-1.0.5-universal,2.23,0.002
nikolairadke.aiduino,2.7.0-universal,nikolairadke.aiduino-2.7.0-universal,2.23,0.002
vscode-infra.image-viewer,2.0.4-universal,vscode-infra.image-viewer-2.0.4-universal,2.23,0.002
joshmann.aspire-vscode,1.0.8-patch-universal,joshmann.aspire-vscode-1.0.8-patch-universal,2.22,0.002
tuld01061.md-live-server,0.2.2-universal,tuld01061.md-live-server-0.2.2-universal,2.22,0.002
devsense-team.devsense,1.0.64-universal,devsense-team.devsense-1.0.64-universal,2.21,0.002
magicstack.magicpython,1.1.1-universal,magicstack.magicpython-1.1.1-universal,2.21,0.002
qoretechnologies.qore-vscode,0.7.4-universal,qoretechnologies.qore-vscode-0.7.4-universal,2.21,0.002
bastndev.compare-code,0.2.9-universal,bastndev.compare-code-0.2.9-universal,2.2,0.002
forward2k.phpnexus,1.0.1-universal,forward2k.phpnexus-1.0.1-universal,2.2,0.002
safeguard-sh-inc.safeguardshideextension,5.0.1-universal,safeguard-sh-inc.safeguardshideextension-5.0.1-universal,2.19,0.002
tikou-web.gcp-switch-config,2.2.7-universal,tikou-web.gcp-switch-config-2.2.7-universal,2.19,0.002
x3ric.nytrix,0.2.0-universal,x3ric.nytrix-0.2.0-universal,2.19,0.002
hevolve-ai.trueflow,0.1.620-universal,hevolve-ai.trueflow-0.1.620-universal,2.18,0.002
jagreehal.autotel-vscode,1.0.0-universal,jagreehal.autotel-vscode-1.0.0-universal,2.18,0.002
causly-youraibugdetective.causly,0.1.8-universal,causly-youraibugdetective.causly-0.1.8-universal,2.16,0.002
eclipse-cdt.svd-viewer,1.3.0-universal,eclipse-cdt.svd-viewer-1.3.0-universal,2.16,0.002
nextdev.nextdev,3.0.12-universal,nextdev.nextdev-3.0.12-universal,2.16,0.002
planet57.vscode-beads,0.13.0-universal,planet57.vscode-beads-0.13.0-universal,2.16,0.002
cortex-debug.svd-viewer,1.2.3-universal,cortex-debug.svd-viewer-1.2.3-universal,2.15,0.002
elishevkirill.bsl-analyzer-lsp,0.1.12-universal,elishevkirill.bsl-analyzer-lsp-0.1.12-universal,2.15,0.002
microchip.mplabx-importer,1.9.0-universal,microchip.mplabx-importer-1.9.0-universal,2.15,0.002
mshr-h.veriloghdl,1.29.0-universal,mshr-h.veriloghdl-1.29.0-universal,2.15,0.002
ptsd.liubai-vscode-extension,0.31.1-universal,ptsd.liubai-vscode-extension-0.31.1-universal,2.15,0.002
pydemia.demian,1.2.1-universal,pydemia.demian-1.2.1-universal,2.15,0.002
singularitti.vscode-julia-formatter,0.6.3-universal,singularitti.vscode-julia-formatter-0.6.3-universal,2.15,0.002
weichuandong.weread-vscode,3.1.1-universal,weichuandong.weread-vscode-3.1.1-universal,2.15,0.002
fchatin.vscode-pi-agent,0.2.41-universal,fchatin.vscode-pi-agent-0.2.41-universal,2.14,0.002
localstack.localstack,1.10.0-universal,localstack.localstack-1.10.0-universal,2.14,0.002
sourabhr10122002.npm-manager-v2,0.1.3-universal,sourabhr10122002.npm-manager-v2-0.1.3-universal,2.14,0.002
christopherthomas.vsqlite-explorer,0.3.0-win32-x64,christopherthomas.vsqlite-explorer-0.3.0-win32-x64,2.12,0.002
visual-codecraft.codecraft-cursor-extension,1.0.3-universal,visual-codecraft.codecraft-cursor-extension-1.0.3-universal,2.1,0.002
microchip.mplab-extensions-platforms,1.8.0-universal,microchip.mplab-extensions-platforms-1.8.0-universal,2.08,0.002
gamag.debugssy,1.6.1-universal,gamag.debugssy-1.6.1-universal,2.07,0.002
ethan-reesor.exp-vscode-go,0.3.0-universal,ethan-reesor.exp-vscode-go-0.3.0-universal,2.06,0.002
kevinrose.vsc-python-indent,1.21.0-universal,kevinrose.vsc-python-indent-1.21.0-universal,2.06,0.002
ms-vscode.makefile-tools,0.12.17-universal,ms-vscode.makefile-tools-0.12.17-universal,2.06,0.002
pacoaldev.opencode-mcp-vscode,1.0.41-universal,pacoaldev.opencode-mcp-vscode-1.0.41-universal,2.06,0.002
swalkerdev.cloudflare-kv-explorer,1.0.9-universal,swalkerdev.cloudflare-kv-explorer-1.0.9-universal,2.05,0.002
mr-burhanuddin.watcher,0.1.6-universal,mr-burhanuddin.watcher-0.1.6-universal,2.03,0.002
selfagency.mistral-models-vscode,1.2.0-universal,selfagency.mistral-models-vscode-1.2.0-universal,2.03,0.002
coderabbit.coderabbit-vscode,0.21.0-universal,coderabbit.coderabbit-vscode-0.21.0-universal,2.02,0.002
ecuabyte.cortex-vscode,0.8.2-universal,ecuabyte.cortex-vscode-0.8.2-universal,2.02,0.002
fermeridamagni.arduino-unified,1.1.1-universal,fermeridamagni.arduino-unified-1.1.1-universal,2.02,0.002
jackfioru92.mcp-aruba-email,0.2.2-universal,jackfioru92.mcp-aruba-email-0.2.2-universal,2.02,0.002
krishna-kudari.android-studio-lite,0.0.10-universal,krishna-kudari.android-studio-lite-0.0.10-universal,2.02,0.002
supabase.postgrestools,1.4.0-universal,supabase.postgrestools-1.4.0-universal,2.02,0.002
vdende.abl-datadigger-launcher,1.1.0-universal,vdende.abl-datadigger-launcher-1.1.0-universal,2.02,0.002
hanwang.android-adb-wlan,0.0.13-universal,hanwang.android-adb-wlan-0.0.13-universal,2.01,0.002
imagene-ai.fast-parquet-viewer,0.4.0-universal,imagene-ai.fast-parquet-viewer-0.4.0-universal,2.01,0.002
vibe-planner.vibe-code-planner,1.1.0-universal,vibe-planner.vibe-code-planner-1.1.0-universal,2.01,0.002
konveyor.konveyor-javascript,0.6.2-universal,konveyor.konveyor-javascript-0.6.2-universal,2.0,0.002
qxlabai.text2code,0.0.7-universal,qxlabai.text2code-0.0.7-universal,2.0,0.002
gethnet.litellm-connector-copilot,1.6.3-universal,gethnet.litellm-connector-copilot-1.6.3-universal,1.98,0.002
kognyt.kognyt-astra,0.1.56-universal,kognyt.kognyt-astra-0.1.56-universal,1.98,0.002
ntluong95.positron-data-science-pack,0.0.6-universal,ntluong95.positron-data-science-pack-0.0.6-universal,1.98,0.002
selfagency.opilot,1.8.2-universal,selfagency.opilot-1.8.2-universal,1.98,0.002
connorontheweb.express-map,1.0.11-universal,connorontheweb.express-map-1.0.11-universal,1.95,0.002
iganbold.yoyo-ai-versioning,0.1.43-universal,iganbold.yoyo-ai-versioning-0.1.43-universal,1.95,0.002
nishikanta12.live-server-lite,1.3.1-universal,nishikanta12.live-server-lite-1.3.1-universal,1.95,0.002
weiskopfsodefa.vercel-vscode-by-sodefa,2.0.8-universal,weiskopfsodefa.vercel-vscode-by-sodefa-2.0.8-universal,1.95,0.002
freerave.dotreadme,1.2.0-universal,freerave.dotreadme-1.2.0-universal,1.94,0.002
google-workspace.google-workspace-developer-tools,0.6.2-universal,google-workspace.google-workspace-developer-tools-0.6.2-universal,1.94,0.002
google.gemini-cli-vscode-ide-companion,0.20.0-universal,google.gemini-cli-vscode-ide-companion-0.20.0-universal,1.94,0.002
jitendragrl.copilot-autocommit,3.0.0-universal,jitendragrl.copilot-autocommit-3.0.0-universal,1.94,0.002
mehaksandhudev.live-readme-studio,1.1.2-universal,mehaksandhudev.live-readme-studio-1.1.2-universal,1.93,0.002
wanderd.wanderd,0.1.17-universal,wanderd.wanderd-0.1.17-universal,1.93,0.002
chanhx.crabviz,0.5.0-universal,chanhx.crabviz-0.5.0-universal,1.92,0.002
eclipse-cdt.serial-monitor,2.0.0-universal,eclipse-cdt.serial-monitor-2.0.0-universal,1.91,0.002
corequest.corequest-debugger,4.0.0-universal,corequest.corequest-debugger-4.0.0-universal,1.9,0.002
gabrielbaiano.ai-commit,0.1.0-universal,gabrielbaiano.ai-commit-0.1.0-universal,1.89,0.002
ntluong95.positron-python-package-manager,0.2.1-universal,ntluong95.positron-python-package-manager-0.2.1-universal,1.89,0.002
marcodiniz.ag-local-bridge,1.1.79-universal,marcodiniz.ag-local-bridge-1.1.79-universal,1.88,0.002
moonolgerd.copilot-specs,0.1.12-universal,moonolgerd.copilot-specs-0.1.12-universal,1.88,0.002
sunweiyue.msgpack-audio-viewer,1.1.1-universal,sunweiyue.msgpack-audio-viewer-1.1.1-universal,1.88,0.002
supermodel.supermodel,0.2.0-universal,supermodel.supermodel-0.2.0-universal,1.88,0.002
nimbletron.pi-code-gui,0.0.55-universal,nimbletron.pi-code-gui-0.0.55-universal,1.86,0.002
eranpeleg1.codepilot-vscode-nexxen,0.1.16-universal,eranpeleg1.codepilot-vscode-nexxen-0.1.16-universal,1.85,0.002
hueanmy.aidlc,2.4.0-universal,hueanmy.aidlc-2.4.0-universal,1.85,0.002
linuxsuren.api-testing,0.0.18-universal,linuxsuren.api-testing-0.0.18-universal,1.85,0.002
hamster.task-master-hamster,0.23.0-universal,hamster.task-master-hamster-0.23.0-universal,1.84,0.002
mcu-debug.rtos-views,0.0.16-universal,mcu-debug.rtos-views-0.0.16-universal,1.84,0.002
nietao.smart-commit-copilot,0.0.66-universal,nietao.smart-commit-copilot-0.0.66-universal,1.84,0.002
ntluong95.positron-r-wizard,0.1.0-universal,ntluong95.positron-r-wizard-0.1.0-universal,1.84,0.002
onlineeric.speedy-git-ext,5.5.1-universal,onlineeric.speedy-git-ext-5.5.1-universal,1.84,0.002
valcioffi.ml-language-support,1.1.1-universal,valcioffi.ml-language-support-1.1.1-universal,1.84,0.002
techfetch-dev.project-translator,0.21.1-universal,techfetch-dev.project-translator-0.21.1-universal,1.83,0.002
dant2021.error-context-collector,0.1.7-universal,dant2021.error-context-collector-0.1.7-universal,1.82,0.002
killowatts.live-jinja-renderer,1.12.0-universal,killowatts.live-jinja-renderer-1.12.0-universal,1.82,0.002
mcanouil.quarto-wizard,3.1.2-universal,mcanouil.quarto-wizard-3.1.2-universal,1.82,0.002
softwaredotcom.swdc-vscode,2.8.18-universal,softwaredotcom.swdc-vscode-2.8.18-universal,1.82,0.002
tracepilot.codeplay,0.1.4-universal,tracepilot.codeplay-0.1.4-universal,1.82,0.002
jupiter-ai0211.repolens-mcp,0.2.1-universal,jupiter-ai0211.repolens-mcp-0.2.1-universal,1.81,0.002
marcosklender.console-tree,1.0.2-universal,marcosklender.console-tree-1.0.2-universal,1.81,0.002
pkief.material-icon-theme,5.36.1-universal,pkief.material-icon-theme-5.36.1-universal,1.81,0.002
cosmosjeon.nexus-acp,0.1.8-universal,cosmosjeon.nexus-acp-0.1.8-universal,1.8,0.002
predictabilityatscale.issuetriage,0.1.3-universal,predictabilityatscale.issuetriage-0.1.3-universal,1.8,0.002
eliostruyf.vscode-dochub,0.0.4-universal,eliostruyf.vscode-dochub-0.0.4-universal,1.79,0.002
ruyisdk.ruyisdk-vscode-extension,0.1.5-universal,ruyisdk.ruyisdk-vscode-extension-0.1.5-universal,1.79,0.002
liteclienthq.liteclient,0.19.4-universal,liteclienthq.liteclient-0.19.4-universal,1.78,0.002
rum-error-tracker.rum-error-tracker,0.0.8-universal,rum-error-tracker.rum-error-tracker-0.0.8-universal,1.78,0.002
duclvz.acp-pro,0.2.3-universal,duclvz.acp-pro-0.2.3-universal,1.77,0.002
neuroskill.neuroskill,0.0.1-universal,neuroskill.neuroskill-0.0.1-universal,1.77,0.002
kerryang56.antigravity-skill-to-workflow,0.5.0-universal,kerryang56.antigravity-skill-to-workflow-0.5.0-universal,1.76,0.002
moego0.local-tab-agent,1.1.0-universal,moego0.local-tab-agent-1.1.0-universal,1.76,0.002
konghq.vscode-konnect-dev-portal-toolkit,1.10.2-universal,konghq.vscode-konnect-dev-portal-toolkit-1.10.2-universal,1.75,0.002
human-gr8rthan-ai.coding-metrics,0.5.3-universal,human-gr8rthan-ai.coding-metrics-0.5.3-universal,1.74,0.002
kylemicallefbonnici.dts-lsp,0.10.3-universal,kylemicallefbonnici.dts-lsp-0.10.3-universal,1.74,0.002
stefan-h-at.source-engine-support,1.4.0-universal,stefan-h-at.source-engine-support-1.4.0-universal,1.74,0.002
denoland.vscode-deno,3.53.0-universal,denoland.vscode-deno-3.53.0-universal,1.73,0.002
tanishqkancharla.opencode-vscode,0.4.4-universal,tanishqkancharla.opencode-vscode-0.4.4-universal,1.73,0.002
ms-playwright.playwright,1.1.19-universal,ms-playwright.playwright-1.1.19-universal,1.72,0.002
recca0120.vscode-phpunit,3.9.40-universal,recca0120.vscode-phpunit-3.9.40-universal,1.72,0.002
srivats.doclense,0.1.4-universal,srivats.doclense-0.1.4-universal,1.72,0.002
themeselection.shadcn-studio-vscode-extension,1.1.0-universal,themeselection.shadcn-studio-vscode-extension-1.1.0-universal,1.72,0.002
visualagents.visualagents,0.5.2-universal,visualagents.visualagents-0.5.2-universal,1.72,0.002
kisstkondoros.vscode-gutter-preview,0.32.2-universal,kisstkondoros.vscode-gutter-preview-0.32.2-universal,1.7,0.002
rcg-dev.remote-config-gen,1.1.1-universal,rcg-dev.remote-config-gen-1.1.1-universal,1.7,0.002
codesherlockai.codesherlock,0.0.31-universal,codesherlockai.codesherlock-0.0.31-universal,1.69,0.002
dadop.git-commit-generator,0.1.1-universal,dadop.git-commit-generator-0.1.1-universal,1.69,0.002
diegomenares.stata-viewer,0.2.1-universal,diegomenares.stata-viewer-0.2.1-universal,1.69,0.002
maxchang.vscode-markmap-universe,0.0.10-universal,maxchang.vscode-markmap-universe-0.0.10-universal,1.69,0.002
proofmatcher.ag-autoaccept,1.0.28-universal,proofmatcher.ag-autoaccept-1.0.28-universal,1.69,0.002
selfagency.beans-vscode,1.7.2-universal,selfagency.beans-vscode-1.7.2-universal,1.69,0.002
tyriar.luna-paint,0.18.0-universal,tyriar.luna-paint-0.18.0-universal,1.69,0.002
satoqz.yet-another-discord-presence,1.5.4-universal,satoqz.yet-another-discord-presence-1.5.4-universal,1.68,0.002
vsls-contrib.codetour,0.0.59-universal,vsls-contrib.codetour-0.0.59-universal,1.68,0.002
xirider.livecode,1.3.10-universal,xirider.livecode-1.3.10-universal,1.68,0.002
codepulse.codepulse,0.5.0-universal,codepulse.codepulse-0.5.0-universal,1.67,0.002
quijotevitruvio.skills-berriondos-pues,2.8.0-universal,quijotevitruvio.skills-berriondos-pues-2.8.0-universal,1.67,0.002
franneck94.c-cpp-runner,9.4.7-universal,franneck94.c-cpp-runner-9.4.7-universal,1.66,0.002
inttype-dev.antigravity-quota-simple,0.1.1-universal,inttype-dev.antigravity-quota-simple-0.1.1-universal,1.66,0.002
souravrax.pglens,0.2.1-universal,souravrax.pglens-0.2.1-universal,1.66,0.002
salesforce.salesforcedx-metadata-visualizer-vscode,1.1.0-universal,salesforce.salesforcedx-metadata-visualizer-vscode-1.1.0-universal,1.65,0.002
sridharmocherla.bazel-kotlin-vscode-extension,0.4.2-universal,sridharmocherla.bazel-kotlin-vscode-extension-0.4.2-universal,1.65,0.002
divisionseven.unified-kanban,0.7.3-universal,divisionseven.unified-kanban-0.7.3-universal,1.64,0.002
epiccraft.epiccraft-agile-story-generator,0.4.0-universal,epiccraft.epiccraft-agile-story-generator-0.4.0-universal,1.64,0.002
hugoblox.hugo,0.1.2-universal,hugoblox.hugo-0.1.2-universal,1.64,0.002
intersystems-community.vscode-objectscript,3.8.2-universal,intersystems-community.vscode-objectscript-3.8.2-universal,1.64,0.002
kaushiksaravanan.auto-accept-antigravity,0.7.7-universal,kaushiksaravanan.auto-accept-antigravity-0.7.7-universal,1.63,0.002
nishithreddyp.aevi,0.0.5-universal,nishithreddyp.aevi-0.0.5-universal,1.63,0.002
salesforce.salesforcedx-vscode-apex-log,67.5.0-universal,salesforce.salesforcedx-vscode-apex-log-67.5.0-universal,1.63,0.002
geequlim.godot-tools,2.7.1-universal,geequlim.godot-tools-2.7.1-universal,1.62,0.002
codepathfinder.secureflow,0.0.19-universal,codepathfinder.secureflow-0.0.19-universal,1.61,0.002
crescent-stdio.wave-roll-solo,0.0.9-universal,crescent-stdio.wave-roll-solo-0.0.9-universal,1.61,0.002
kylinideteam.cmake-intellisence,0.8.0-universal,kylinideteam.cmake-intellisence-0.8.0-universal,1.61,0.002
lucasalvcoutinho.blacksmith,0.2.1-universal,lucasalvcoutinho.blacksmith-0.2.1-universal,1.6,0.002
vitest.explorer,1.50.7-universal,vitest.explorer-1.50.7-universal,1.59,0.002
freeocd.freeocd-extension,0.0.4-win32-x64,freeocd.freeocd-extension-0.0.4-win32-x64,1.58,0.002
maheshkok.claude-code-gui,1.5.12-universal,maheshkok.claude-code-gui-1.5.12-universal,1.58,0.002
keyshout.sqlite-db-viewer,0.1.6-universal,keyshout.sqlite-db-viewer-0.1.6-universal,1.57,0.002
moow77.replace-sql-parameters,1.0.2-universal,moow77.replace-sql-parameters-1.0.2-universal,1.57,0.002
munatrust.munatrust,0.1.56-universal,munatrust.munatrust-0.1.56-universal,1.57,0.002
microsoft-aspire.aspire-vscode,1.0.2-universal,microsoft-aspire.aspire-vscode-1.0.2-universal,1.56,0.002
openubmc.bmcstudio-log-reviewer,0.0.2-universal,openubmc.bmcstudio-log-reviewer-0.0.2-universal,1.56,0.002
yasirarafat.opencode-ai-chat,0.3.13-universal,yasirarafat.opencode-ai-chat-0.3.13-universal,1.56,0.002
supsugam.react-native-text-watcher,1.0.3-universal,supsugam.react-native-text-watcher-1.0.3-universal,1.55,0.002
