"Folder","SizeGB"
"C:\Users\PCCPPPCCC\.positron\extensions\puppet.puppet-vscode-1.5.7-universal\vendor\languageserver\vendor\bundle\ruby\2.7.0\cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\JetBrains\PyCharm2026.1\jcef_cache\Default\Cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Microsoft\Edge\User Data\GrShaderCache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Microsoft\OneDrive\logs","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Mozilla\Firefox\Profiles\ga3e1q0f.default-release\cache2","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\NVIDIA\DXCache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Microsoft\Olk\EBWebView\Default\Code Cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Microsoft\Edge\User Data\OneAuth\WebView2\EBWebView\Default\Cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Microsoft\Edge\User Data\OneAuth\WebView2\EBWebView\Default\Cache\Cache_Data","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Microsoft\Olk\EBWebView\GrShaderCache","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\Tencent\QQMusic\QQMusicCache\WebkitCache\5000\Cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\com.github.githubapp\EBWebView\Default\Cache","0.01"
"C:\Users\PCCPPPCCC\.positron\extensions\ifkash.kernel-orbit-0.2.1-universal\.mypy_cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\Tencent\QQMusic\QQMusicCache\WebkitCache","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\Tencent\Androws\cef\CEF_AndrowsStore\Cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\Tencent\Androws\cef\CEF_AndrowsStore\Cache\Cache_Data","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\Tencent\QQMusic\QQMusicCache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\com.github.githubapp\EBWebView\Default\Code Cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Google\Chrome\User Data\Default\GPUCache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Google\Chrome\User Data\Default\Cache\Cache_Data","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Google\Chrome\User Data\Default\Service Worker\CacheStorage","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\com.superhuman.web-client\EBWebView\Default\Cache\Cache_Data","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\com.github.githubapp\EBWebView\Default\GPUCache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\com.github.githubapp\EBWebView\Default\Cache\Cache_Data","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\com.superhuman.web-client\EBWebView\Default\Cache","0.01"
"C:\Users\PCCPPPCCC\.positron\extensions\soubhikdevtools.dot-liquid-template-debugger-2.2.7-universal","0.01"
"C:\Users\PCCPPPCCC\.positron\extensions\hojabri.slog-viewer-1.7.0-universal","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\EBWebView\Default\Cache","0.01"
"C:\Users\PCCPPPCCC\.codex\plugins\cache\openai-curated-remote\openai-templates\0.1.0\skills\artifact-template-team-alignment","0.01"
