"Extension","Folder","SizeMB","Level"
"cdervis.vscode-pi","cdervis.vscode-pi-0.20.0-universal","81.16","?"
"vexp.vexp-vscode","vexp.vexp-vscode-2.2.0-win32-x64","81.04","?"
"malloydata.malloy-vscode","malloydata.malloy-vscode-0.3.1783014818-win32-x64","79.74","?"
"the-sylvester.crispy","the-sylvester.crispy-0.3.4-win32-x64","79.52","?"
"pigweed.pigweed","pigweed.pigweed-1.10.4-universal","78.83","?"
"dirac-run.dirac","dirac-run.dirac-0.4.16-universal","78.51","?"
"wscats.eno","wscats.eno-2.3.53-universal","78.28","?"
"codescene.codescene-codehealth-mcp","codescene.codescene-codehealth-mcp-1.4.0-win32-x64","78.02","?"
"stripe.vscode-stripe","stripe.vscode-stripe-2.0.14-universal","76.84","?"
"moonshot-ai.kimi-code","moonshot-ai.kimi-code-0.5.10-win32-x64","76.11","?"
"damms005.devdb","damms005.devdb-3.0.9-win32-x64","75.64","?"
"burtsonlabs.bandit-stealth","burtsonlabs.bandit-stealth-1.7.379","75.02","?"
"mifxch.gantry","mifxch.gantry-0.3.1-universal","74.93","?"
"kylinideteam.cppdebug","kylinideteam.cppdebug-0.4.0-win32-x64","74.59","?"
"rise.androidluahelper","rise.androidluahelper-0.0.34-universal","74.51","?"
"tencent-cloud.coding-copilot","tencent-cloud.coding-copilot-4.9.32015789-universal","74.05","?"
"muthukumarkoodalingam.karate-test-generator","muthukumarkoodalingam.karate-test-generator-1.5.2-universal","74.03","?"
"com-adobe-coldfusion.adobe-cfml-lsp","com-adobe-coldfusion.adobe-cfml-lsp-1.0.823","73.56","?"
"datadog.datadog-vscode","datadog.datadog-vscode-2.33.0","73.15","?"
"testdriver.testdriver","testdriver.testdriver-0.6.45-universal","72.99","?"
"killerall.advpl-vscode","killerall.advpl-vscode-0.18.1-universal","72.88","?"
"woung717.backtest-manager","woung717.backtest-manager-0.1.12-universal","72.15","?"
"waylog.waylog","waylog.waylog-0.0.10-win32-x64","72.15","?"
"craftlandstudio.ffugclanguage","craftlandstudio.ffugclanguage-1.10.1-universal","71.55","?"
"mike-lischke.vscode-antlr4","mike-lischke.vscode-antlr4-2.3.1-universal","71.45","?"
"riversidesoftware.sonarlint-abl","riversidesoftware.sonarlint-abl-4.45.99002-universal","71.31","?"
"tsucky230.comp-vscode","tsucky230.comp-vscode-0.9.2-universal","70.76","?"
"rocketride.rocketride","rocketride.rocketride-1.3.0-universal","70.53","?"
"revaturepro-local.revature-python-labs-local","revaturepro-local.revature-python-labs-local-0.0.2-universal","70.24","?"
"edgarmoran.anypoint-monitor","edgarmoran.anypoint-monitor-0.0.83-universal","69.72","?"
"redhat.vscode-xml","redhat.vscode-xml-0.29.2026061109-win32-x64","69.68","?"
"ovhcloud.jepilote","ovhcloud.jepilote-0.2.1-win32-x64","69.61","?"
"kodu-ai.claude-dev-experimental","kodu-ai.claude-dev-experimental-2.3.5-universal","69.43","?"
"nskha.perplexity-vscode","nskha.perplexity-vscode-0.8.54-universal","69.25","?"
"create3000.x-ite-vscode-formatter","create3000.x-ite-vscode-formatter-2.0.10-universal","69.13","?"
"tamasfe.even-better-toml","tamasfe.even-better-toml-0.21.2-universal","68.92","?"
"wallabyjs.quokka-vscode","wallabyjs.quokka-vscode-1.0.766-universal","68.31","?"
"kawana.kawana-extension","kawana.kawana-extension-1.0.0-universal","67.98","?"
"monet.claude-code","monet.claude-code-2.1.0-universal","67.72","?"
"nrigalle.claude-trace","nrigalle.claude-trace-1.8.2-win32-x64","67.5","?"
"sikilab.md-view","sikilab.md-view-0.0.8-universal","67.32","?"
"zhukunpeng.claude-code-cn","zhukunpeng.claude-code-cn-1.0.3-universal","67.14","?"
"smallcloud.codify","smallcloud.codify-3.2.112-win32-x64","66.62","?"
"veverke.chatwizard","veverke.chatwizard-1.5.0-win32-x64","66.55","?"
"sas.sas-lsp","sas.sas-lsp-1.20.0-universal","66.38","?"
"puppet.puppet-vscode","puppet.puppet-vscode-1.5.7-universal","66.05","?"
"cocursor.cocursor","cocursor.cocursor-0.1.9-win32-x64","66.01","?"
"myriad-dreamin.tinymist","myriad-dreamin.tinymist-0.15.2-win32-x64","66","?"
"da3n0n.ultraview","da3n0n.ultraview-0.2.399-universal","65.7","?"
"yusishuma.voice-input-assistant","yusishuma.voice-input-assistant-2.0.0-universal","65.19","?"
"thingraph.dwg-viewer","thingraph.dwg-viewer-1.5.7-universal","65.05","?"
"printagapublishingllc.pilots-studio","printagapublishingllc.pilots-studio-2.3.0-universal","64.57","?"
"dlsxj101.peridot-vscode","dlsxj101.peridot-vscode-0.7.1-win32-x64","64.47","?"
"wenwj.luaforqc","wenwj.luaforqc-0.2.44-universal","64","?"
"pranaydas.codelens-graph","pranaydas.codelens-graph-0.2.4-universal","63.99","?"
"hybridtalentcomputing.cline-chinese","hybridtalentcomputing.cline-chinese-3.86.5-universal","63.05","?"
"eclipse-cdt.vscode-trace-extension","eclipse-cdt.vscode-trace-extension-0.8.0-universal","62.94","?"
"codemakerai.codemakerai","codemakerai.codemakerai-1.59.0-universal","62.91","?"
"kuochunchang.goose-uml-vscode","kuochunchang.goose-uml-vscode-0.3.3","62.62","?"
"jessyleite.super-glb-viewer","jessyleite.super-glb-viewer-0.1.16-universal","62.6","?"
"sasjs.sasjs-for-vscode","sasjs.sasjs-for-vscode-2.7.4-universal","62.33","?"
"sumitkumarsingh.free-repo-agent","sumitkumarsingh.free-repo-agent-0.8.8-universal","62","?"
"strawgate.kb-dashboard-compiler","strawgate.kb-dashboard-compiler-0.4.1-win32-x64","62","?"
"fundamentalresearchlabs.mog-xlsx-editor","fundamentalresearchlabs.mog-xlsx-editor-0.10.3-universal","61.91","?"
"s-hiraoku.vscode-sidebar-terminal","s-hiraoku.vscode-sidebar-terminal-1.1.0-win32-x64","61.49","?"
"kylinideteam.python2-support","kylinideteam.python2-support-0.0.5-universal","61.49","?"
"nexpath.nexpath-vscode","nexpath.nexpath-vscode-0.1.32-win32-x64","61.2","?"
"jaynightmare.md-to-deploy","jaynightmare.md-to-deploy-0.1.5-universal","60.82","?"
"yohei1996.biz-agent","yohei1996.biz-agent-0.9.0-universal","60.72","?"
"shaluoyan523.vibe-control","shaluoyan523.vibe-control-0.0.16-universal","60.5","?"
"evolvecode-ai.evolve-ai","evolvecode-ai.evolve-ai-2.1.1-win32-x64","59.86","?"
"devsense.phptools-vscode","devsense.phptools-vscode-1.71.19014-win32-x64","59.65","?"
"unlocalhosted.side-bae","unlocalhosted.side-bae-1.4.0-universal","59.2","?"
"shopify.theme-check-vscode","shopify.theme-check-vscode-3.11.6-universal","58.88","?"
"sergeyegorov.folder-color","sergeyegorov.folder-color-3.0.0-universal","58.38","?"
"mutyai.mutyagent","mutyai.mutyagent-1.0.36-universal","57.95","?"
"huggingface.huggingface-vscode","huggingface.huggingface-vscode-0.2.2-win32-x64","57.92","?"
"devcoreai-coding-agent.devcoreai-coding-agent","devcoreai-coding-agent.devcoreai-coding-agent-1.0.18-universal","57.44","?"
"kieler.osgiviz","kieler.osgiviz-0.4.0-universal","57.33","?"
"kylinideteam.kylin-python","kylinideteam.kylin-python-0.4.3-universal","57.22","?"
"wallabyjs.console-ninja","wallabyjs.console-ninja-1.0.536-universal","57.21","?"
"necatiarslan.awsflow","necatiarslan.awsflow-1.0.7-universal","57.17","?"
"logspace.logspace-vscode","logspace.logspace-vscode-0.2.6","57.01","?"
"redhat.devspaces-copilot-chat-integration","redhat.devspaces-copilot-chat-integration-0.36.2-universal","56.78","?"
"yy0931.vscode-sqlite3-editor","yy0931.vscode-sqlite3-editor-1.0.214-universal","56.75","?"
"ironbee-ai.ironbee-devtools-vscode","ironbee-ai.ironbee-devtools-vscode-0.1.2-universal","56.34","?"
"theqtcompany.qt-core","theqtcompany.qt-core-1.14.0-universal","56.32","?"
"jakubkozera.csharp-dev-tools","jakubkozera.csharp-dev-tools-1.6.1-universal","56.31","?"
"hitabisgmbh.oaklean","hitabisgmbh.oaklean-0.1.5-universal","56.26","?"
"sphinx.sphinx-code","sphinx.sphinx-code-1.1.0-universal","56.14","?"
"tomocraft.mcstructure-preview","tomocraft.mcstructure-preview-1.1.2-universal","55.43","?"
"fiatinnovations.ola-code-buddy","fiatinnovations.ola-code-buddy-4.3.13-universal","55.23","?"
"hackerzhuli.unity-code-pro","hackerzhuli.unity-code-pro-1.1.1-win32-x64","54.62","?"
"kodetech.krom","kodetech.krom-22.6.0-universal","54.2","?"
"nromanov.dotnet-meteor","nromanov.dotnet-meteor-6.2.9-win32-x64","54.16","?"
"googlecloudtools.datacloud","googlecloudtools.datacloud-0.6.1-universal","54.07","?"
"devmesh.devmesh-challenges","devmesh.devmesh-challenges-0.1.15-universal","53.82","?"
"kirosho.mindsync","kirosho.mindsync-1.1.4-universal","53.77","?"
"mongodb.mongodb-vscode","mongodb.mongodb-vscode-1.16.0-universal","53.77","?"
"lucien-martijn.parquet-visualizer","lucien-martijn.parquet-visualizer-0.31.1","53.69","?"
"h5web.vscode-h5web","h5web.vscode-h5web-0.2.2-universal","53.56","?"
"polygram.polygram","polygram.polygram-0.5.0-universal","53.45","?"
"ligolang-publish.ligo-debugger-vscode","ligolang-publish.ligo-debugger-vscode-0.1.3-universal","53.17","?"
"superbased.superbased-observer","superbased.superbased-observer-1.19.0-win32-x64","53.15","?"
